"state_fips","state_usps","county_fips","county_name","cwa","time_zone","feature_area","latitude","longitude"
"38","ND","075","Renville","BIS","C","nc",48.7191861665,-101.658079195
"38","ND","077","Richland","FGF","C","se",46.2645649865,-96.9482953545
"38","ND","079","Rolette","BIS","C","nc",48.772420105,-99.8410630547
"38","ND","081","Sargent","FGF","C","se",46.1077968806,-97.6305860558
"38","ND","083","Sheridan","BIS","C","sc",47.575395835,-100.345648512
"38","ND","085","Sioux","BIS","CM","sc",46.112642482,-101.040466521
"38","ND","087","Slope","BIS","M","sw",46.4472319958,-103.459866112
"38","ND","089","Stark","BIS","M","sw",46.8107033126,-102.655008632
"38","ND","091","Steele","FGF","C","se",47.456154711,-97.7247529444
"38","ND","093","Stutsman","BIS","C","se",46.9792321983,-98.9588247102
"38","ND","095","Towner","FGF","C","ne",48.6855536184,-99.2458726445
"38","ND","097","Traill","FGF","C","se",47.4541997836,-97.1615296959
"38","ND","099","Walsh","FGF","C","ne",48.3694415563,-97.7214330889
"38","ND","101","Ward","BIS","C","nc",48.221807368,-101.541848267
"38","ND","103","Wells","BIS","C","sc",47.5876104788,-99.6610142562
"38","ND","105","Williams","BIS","C","nw",48.3436765211,-103.480199052
"39","OH","001","Adams","ILN","E","sw",38.8456814858,-83.4719889317
"39","OH","003","Allen","IWX","E","wc",40.7715187935,-84.1057387326
"39","OH","005","Ashland","CLE","E","nc",40.8460637473,-82.2706614755
"39","OH","007","Ashtabula","CLE","E","ne",41.7074446078,-80.7484999834
"39","OH","009","Athens","RLX","E","se",39.3336528467,-82.0451665994
"39","OH","011","Auglaize","ILN","E","wc",40.5609278792,-84.2217078693
"39","OH","013","Belmont","PBZ","E","ec",40.0158393979,-80.9884854102
"39","OH","015","Brown","ILN","E","sw",38.9343689427,-83.8679676317
"39","OH","017","Butler","ILN","E","sw",39.4385942576,-84.5755243455
"39","OH","019","Carroll","PBZ","E","ec",40.5796196811,-81.0897233384
"39","OH","021","Champaign","ILN","E","wc",40.1377507897,-83.7695994466
"39","OH","023","Clark","ILN","E","wc",39.9168085486,-83.7835479485
"39","OH","025","Clermont","ILN","E","sw",39.0476123942,-84.152159858
"39","OH","027","Clinton","ILN","E","sw",39.414996589,-83.8083671481
"39","OH","029","Columbiana","PBZ","E","ec",40.7685686591,-80.7774911485
"39","OH","031","Coshocton","PBZ","E","ec",40.3016492198,-81.9199998827
"39","OH","033","Crawford","CLE","E","nc",40.8508652321,-82.9197438842
"39","OH","035","Cuyahoga","CLE","E","ne",41.4243032548,-81.6586614282
"39","OH","037","Darke","ILN","E","wc",40.1332816515,-84.6193233136
"39","OH","039","Defiance","IWX","E","nw",41.3239515845,-84.4905593488
"39","OH","041","Delaware","ILN","E","cc",40.2784997101,-83.0051860181
"39","OH","043","Erie","CLE","E","nc",41.3634873689,-82.6178283302
"39","OH","045","Fairfield","ILN","E","cc",39.7516156871,-82.6305459766
"39","OH","047","Fayette","ILN","E","cc",39.5599056642,-83.4560986176
"39","OH","049","Franklin","ILN","E","cc",39.9695679578,-83.0093222689
"39","OH","051","Fulton","IWX","E","nw",41.6018104534,-84.1300790896
"39","OH","053","Gallia","RLX","E","se",38.8247245982,-82.3169026989
"39","OH","055","Geauga","CLE","E","ne",41.4994666317,-81.1786226159
"39","OH","057","Greene","ILN","E","wc",39.691459183,-83.8897954949
"39","OH","059","Guernsey","PBZ","E","ec",40.052063263,-81.4942446027
"39","OH","061","Hamilton","ILN","E","sw",39.195448613,-84.542627321
